Text;User;Location;Created;Favourite_count;Retweet_count;Source
RT @jinkitty57: Finally got my #BTSMeal! I gotta say @McElSalvador you are a true Army! 💜💜💜💜💜💜💜 #BTSMealElSalvador https://t.co/muzMWf8Uq0;𝖽𝗂𝖺𝗇𝖺♡︎;bed;2021-06-23 21:32:13;0;5;Twitter for Android
@bts_bighit @BTS_twt @McDonaldsMexico  i'm really really happy!! A lot!! Thanks for all!! #BTSMeal 😱😍😎 🇰🇷🇲🇽🙏🏻🙌🏻🥰 https://t.co/wP1o1q8Nsv;Carola Brea;Puebla México ;2021-06-23 21:32:09;3;0;Twitter for Android
"MARK your calendar 🗣

@McDonalds 
#BTSMeal #BTSMealQatar https://t.co/BLARuOi10N";Qatar ARMYs;Doha, Qatar;2021-06-23 21:31:38;9;2;Twitter for iPhone
"RT @andiech21: Purple day 💜✨
#BTSMeal #btsmealelsalvador #BTSARMY #BTS #BTSXMcDonalds #방탄소년단 https://t.co/2MNThlwEeP";Darlin Gomez;No tiene;2021-06-23 21:31:37;0;2;Twitter Web App
RT @BTSOriented: The initial #BTSMeal feedbacks are quite insane... This truly shows @BTS_twt's humongous impact on a global scale. (Here:…;Alex (MyTear ⁷)💜🧈;California, USA;2021-06-23 21:31:35;0;81;Twitter for iPhone
Got'em! 💜♥️ #BTSMeal https://t.co/aNyfn2d8L3;p u p p y c a t ⁷ 💜⚡;La Paz, Baja California Sur;2021-06-23 21:30:46;1;0;Twitter for Android
#BTSMeal #BTS al fin 🥺🥺 https://t.co/TzfIzqeJpa;Hemiret;No tiene;2021-06-23 21:30:42;4;0;Twitter for Android
RT @McDonalds: u🧈 believe it, the #BTSMeal is here https://t.co/hiP05IU8eq;♡ᴍᴀʀʏ♡;Magic Shop ;2021-06-23 21:29:16;0;185196;Twitter for Android
RT @McDo_PH: There are 7 reasons to try The BTS Meal! Get it starting 7AM today! Comes with 10-pc Chicken McNuggets, medium fries, a Coke,…;⟭⟬JM13⁷🏳️‍🌈;💜Berlin, Germany;2021-06-23 21:28:58;0;2558;Twitter for Android
"RT @McDo_PH: Get your #BTSMeal via Ride-Thru and take your selca with our ""I Purple This"" photo frame!
 
You can even get a FREE Upsize to…";⟭⟬JM13⁷🏳️‍🌈;💜Berlin, Germany;2021-06-23 21:28:40;0;230;Twitter for Android
RT @BTSOriented: The initial #BTSMeal feedbacks are quite insane... This truly shows @BTS_twt's humongous impact on a global scale. (Here:…;🇵🇸⁷;No tiene;2021-06-23 21:27:28;0;81;Twitter for Android
RT @ktaebwi_613: made a hanging organizer for my stationery from the #BTSMeal packaging and an old wall calendar :-D https://t.co/DHDA7dwArq;Yessi_Park;No tiene;2021-06-23 21:26:58;0;11614;Twitter Web App
"RT @Project0613PH: It's indeed a happy meal with the #BTSMeal. 💜

#AnpanMEALDrive #BTSMeal https://t.co/f3q0RJHgAB";titity_99;No tiene;2021-06-23 21:26:56;0;31;Twitter Web App
RT @Project0613PH: Sorry, but we're out of words so let's just cry over this. How we wish we could eat the same meal at the same table with…;titity_99;No tiene;2021-06-23 21:26:49;0;85;Twitter Web App
"RT @Project0613PH: Look at him recognizing each member! We got ARMY everywhere, and it's just fun to share this with them. 💜

Also, he remi…";titity_99;No tiene;2021-06-23 21:26:47;0;46;Twitter Web App
RT @Project0613PH: The chance to share a #BTSMeal w/ the children and families under the care of KSE is priceless. While some of us enjoy i…;titity_99;No tiene;2021-06-23 21:26:42;0;53;Twitter Web App
RT @Project0613PH: Good morning, guys! We're still lost for words with how heartwarming this has been for all of us. Last night, when we re…;titity_99;No tiene;2021-06-23 21:26:37;0;293;Twitter Web App
"RT @kerbear808: #BTSMeal Giveaway

🎁#20:
- 2 bags, 4 sauces, 2 sets of photo prints with holo sleeves

To Enter:
- RT
- Tag a lunch buddy
-…";✨;30.09.16;2021-06-23 21:26:28;0;269;Twitter for iPad
RT @BTSOriented: The initial #BTSMeal feedbacks are quite insane... This truly shows @BTS_twt's humongous impact on a global scale. (Here:…;Lily⁷ 🇵🇸 🧈;No tiene;2021-06-23 21:26:26;0;81;Twitter for Android
RT @McDonalds: POV: u were waiting for a sign to turn on notifications #BTSMeal https://t.co/bhpccgltGi;jess || butter 🧈, hbd sunoo 💕;🇨🇦;2021-06-23 21:26:09;0;108629;Twitter for iPhone
RT @McDonalds: who's who #BTSMeal https://t.co/cohe8T7sVG;jess || butter 🧈, hbd sunoo 💕;🇨🇦;2021-06-23 21:26:04;0;81956;Twitter for iPhone
RT @McDonalds: who's who #BTSMeal https://t.co/HjKy5cg8PM;jess || butter 🧈, hbd sunoo 💕;🇨🇦;2021-06-23 21:26:02;0;79999;Twitter for iPhone
RT @McDonalds: who's who #BTSMeal https://t.co/n696EymWk8;jess || butter 🧈, hbd sunoo 💕;🇨🇦;2021-06-23 21:25:58;0;75994;Twitter for iPhone
RT @McDonalds: u🧈 believe it, the #BTSMeal is here https://t.co/hiP05IU8eq;jess || butter 🧈, hbd sunoo 💕;🇨🇦;2021-06-23 21:25:18;0;185196;Twitter for iPhone
Typical asian. Nuggets with rice 😅 #btsmeal #midnightcravings https://t.co/ICYDJEayiQ;Yoongi's Gummy Smile is all you need⁷ 🐱🐥⟭⟬🧈;Tiktok: @pyonpyong;2021-06-23 21:24:49;8;1;Twitter for iPhone
"RT @McDo_PH: Hotness overload! Have you tried these two new fiery sauces? Get a taste when you order The #BTSMeal. 

Order now via https://…";⟭⟬JM13⁷🏳️‍🌈;💜Berlin, Germany;2021-06-23 21:24:23;0;253;Twitter for Android
RT @v_artt: turned my bts meal packaging to something useful! 💜🤍 #btsmeal #BTSMealPH https://t.co/MaWanBiJNL;patriciaRN ⁷;Boston, MA;2021-06-23 21:24:22;0;1565;Twitter for iPhone
"RT @Jonah_writer: My interview with McDo Philippines' Marketing head Margot Torres
MANILA BULLETIN: #BTSMeal sells nearly 1 million orders…";patriciaRN ⁷;Boston, MA;2021-06-23 21:24:15;0;345;Twitter for iPhone
RT @jaydenation: #BTSmeal but make it @Josiahchua customs. I guess you can call them 𝑨𝑹𝑴𝒀 𝑩𝑶𝑶𝑻𝑺 🤣🤣 https://t.co/RGYYwTrX7j;BTSot7💜💛🧈;Italy;2021-06-23 21:23:17;0;1226;Twitter Web App
It's not an aesthetic photo BUT I got my #BTSMeal + Oreo Mc Flurry 💜 @emilyKim9895 #BTS #BTS_BUTTER #BTSARMY https://t.co/npez1B5whJ;к๓⁷•ᴗ•ᵏᵒᵇⁱ;ᕼOᑭEᗯOᖇᒪᗪ🌼;2021-06-23 21:22:34;1;0;Twitter for Android
"RT @Seoul_ItalyBTS: #Video📽️| #BTS #BTSXMcD #BTSMeal 
- Scarpe da ginnastica personalizzate con il BTS Meal -

My Custom made BTS Meal snea…";BTSot7💜💛🧈;Italy;2021-06-23 21:22:17;0;3;Twitter Web App
"second time eating the bts meal, and a fanmade pc given to me by my friend 💜🤍
#BTSMeal #BTSXMcD https://t.co/BCyLo1FX00";Ana⁷ | 🪐sow∞z∞;she/her : 97’ liner : infj;2021-06-23 21:18:55;3;0;Twitter for iPhone
RT @jikookxbj: this army is on fire 🔥 #BTSMeal https://t.co/EknjtVy5Et;Fernanda;No tiene;2021-06-23 21:16:43;0;14;Twitter Web App
RT @90sbts_twt: THIS IS SO COOL 💜  #BTSMeal https://t.co/P9FRHd0GyI;Fernanda;No tiene;2021-06-23 21:16:23;0;31;Twitter Web App
"RT @Project0613PH: #BringTheSnacks to the Lung Center of the Philippines. Thank you, Carmela &amp; the rest of the @McDo_PH ETON Centris team.…";Fernanda;No tiene;2021-06-23 21:15:59;0;153;Twitter Web App
"RT @geurim_art: Screenshot and see who you got for your #BTSMeal 
#BTS #btsfanart #artmy 
@BTS_twt https://t.co/RdmMvASmPc";🇦🇷 Jungshocked∞ᴮᴱ⁷ 🥞 Hot100 No.1 BTS_Butter~ 🐋;Argentina;2021-06-23 21:15:18;0;6;Twitter Web App
"RT @McDonalds: Behind the Sauce: Making of Film
#BTSMeal 

https://t.co/vS1T7epAYG https://t.co/EKGkBe8MC1";jess || butter 🧈, hbd sunoo 💕;🇨🇦;2021-06-23 21:11:58;0;31190;Twitter for iPhone
"i want it, i got it 💜✨

#BTSMeal #BTSMealElSalvador
 @BTS_twt https://t.co/ZbYimfZI0N";❆ⱬɇɽø: 𝐚𝐦𝐢⅞🧈;🇸🇻;2021-06-23 21:11:49;1;0;Twitter for Android
"RT @geurim_art: Screenshot and see who you got for your #BTSMeal 
#BTS #btsfanart #artmy 
@BTS_twt https://t.co/RdmMvASmPc";ᴮᴱ NaV⁷🧈;euphoria;2021-06-23 21:11:45;0;6;Twitter Web App
RT @jaydenation: #BTSmeal but make it @Josiahchua customs. I guess you can call them 𝑨𝑹𝑴𝒀 𝑩𝑶𝑶𝑻𝑺 🤣🤣 https://t.co/RGYYwTrX7j;😉🧈∞;No tiene;2021-06-23 21:10:02;0;1226;Twitter Web App
"RT @McDonalds: Behind the Sauce: Making of Film
#BTSMeal 

https://t.co/vS1T7epAYG https://t.co/EKGkBe8MC1";✨KPOP_BIGBRAIN✨;No tiene;2021-06-23 21:09:07;0;31190;Twitter for iPhone
"RT @McDo_PH: Get your #BTSMeal via Ride-Thru and take your selca with our ""I Purple This"" photo frame!
 
You can even get a FREE Upsize to…";jiminnamoo13🐥🍀🇰🇷;No tiene;2021-06-23 21:09:02;0;230;Twitter for Android
"RT @woogasquadPH: Share the Happiness! 😊
Total of 30pcs #BTSMeal, snacks and biscuits succesfully turned over for kids at St. Rita Orphanag…";leahmccurley;No tiene;2021-06-23 21:07:04;0;119;Twitter for iPhone
